obs_id,eqt_code_cat
0,13
1,3
2,19
3,13
4,18
5,1
6,10
7,10
8,19
9,2
10,21
11,20
12,7
13,0
14,6
15,9
16,19
17,7
18,12
19,14
20,12
21,6
22,2
23,15
24,22
25,0
26,17
27,4
28,14
29,19
30,13
31,18
32,3
33,7
34,16
35,13
36,13
37,11
38,20
39,2
40,13
41,16
42,17
43,17
44,10
45,4
46,12
47,19
48,6
49,11
50,17
51,12
52,0
53,13
54,2
55,18
56,23
57,16
58,15
59,5
60,14
61,0
62,4
63,7
64,6
65,17
66,4
67,14
68,14
69,6
70,4
71,19
72,18
73,18
74,17
75,8
76,22
77,19
78,3
79,17
80,9
81,7
82,22
83,1
84,16
85,22
86,22
87,9
88,4
89,6
90,2
91,13
92,4
93,12
94,15
95,18
96,16
97,12
98,9
99,1
100,22
101,14
102,13
103,0
104,1
105,6
106,22
107,3
108,11
109,17
110,17
111,8
112,6
113,13
114,22
115,1
116,12
117,17
118,19
119,10
120,19
121,21
122,7
123,23
124,10
125,4
126,13
127,13
128,18
129,10
130,9
131,7
132,13
133,8
134,9
135,13
136,20
137,6
138,5
139,6
140,19
141,19
142,1
143,14
144,1
145,17
146,23
147,0
148,10
149,4
150,6
151,18
152,21
153,4
154,19
155,2
156,13
157,13
158,9
159,22
160,13
161,0
162,10
163,12
164,9
165,3
166,18
167,12
168,20
169,4
170,23
171,18
172,21
173,0
174,13
175,22
176,23
177,5
178,3
179,19
180,22
181,4
182,11
183,10
184,19
185,22
186,10
187,18
188,4
189,10
190,0
191,21
192,5
193,3
194,10
195,4
196,1
197,14
198,12
199,4
200,17
201,21
202,13
203,2
204,1
205,7
206,0
207,1
208,5
209,6
210,9
211,8
212,4
213,1
214,11
215,10
216,5
217,9
218,7
219,12
220,7
221,13
222,18
223,19
224,19
225,11
226,18
227,23
228,19
229,11
230,7
231,23
232,21
233,11
234,19
235,10
236,4
237,19
238,13
239,22
240,4
241,2
242,4
243,4
244,22
245,17
246,4
247,11
248,17
249,12
250,4
251,11
252,0
253,19
254,1
255,13
256,22
257,15
258,22
259,18
260,4
261,16
262,13
263,1
264,8
265,10
266,19
267,15
268,3
269,16
270,14
271,3
272,21
273,19
274,23
275,10
276,8
277,4
278,1
279,2
280,5
281,4
282,5
283,13
284,7
285,12
286,6
287,9
288,19
289,14
290,1
291,3
292,13
293,22
294,21
295,14
296,14
297,7
298,11
299,21
300,9
301,7
302,1
303,4
304,17
305,1
306,5
307,11
308,23
309,22
310,12
311,22
312,18
313,1
314,11
315,18
316,11
317,18
318,19
319,7
320,3
321,22
322,10
323,1
324,19
325,23
326,20
327,19
328,10
329,1
330,15
331,1
332,19
333,2
334,6
335,18
336,4
337,4
338,2
339,17
340,4
341,16
342,18
343,7
344,21
345,21
346,15
347,5
348,12
349,17
350,19
351,22
352,14
353,1
354,12
355,5
356,6
357,11
358,7
359,14
360,7
361,18
362,4
363,15
364,8
365,19
366,5
367,18
368,18
369,7
370,23
371,18
372,12
373,5
374,15
375,2
376,19
377,2
378,6
379,5
380,16
381,4
382,10
383,12
384,4
385,11
386,10
387,5
388,11
389,21
390,21
391,20
392,9
393,14
394,6
395,12
396,17
397,4
398,18
399,18
400,18
401,4
402,12
403,11
404,5
405,17
406,18
407,4
408,19
409,18
410,18
411,6
412,17
413,13
414,16
415,18
416,18
417,7
418,18
419,23
420,4
421,23
422,11
423,12
424,4
425,18
426,11
427,3
428,7
429,8
430,0
431,19
432,14
433,19
434,14
435,19
436,10
437,1
438,18
439,18
440,17
441,22
442,12
443,13
444,6
445,10
446,22
447,20
448,2
449,18
450,6
451,17
452,4
453,14
454,12
455,1
456,21
457,18
458,18
459,2
460,12
461,11
462,16
463,1
464,19
465,8
466,9
467,12
468,19
469,22
470,4
471,8
472,18
473,8
474,18
475,13
476,19
477,8
478,1
479,19
480,18
481,1
482,4
483,18
484,4
485,17
486,19
487,19
488,19
489,14
490,1
491,4
492,22
493,1
494,12
495,6
496,1
497,14
498,11
499,14
500,3
501,21
502,18
503,13
504,11
505,22
506,16
507,14
508,22
509,23
510,10
511,9
512,15
513,18
514,4
515,12
516,6
517,0
518,8
519,0
520,6
521,11
522,19
523,0
524,5
525,3
526,9
527,8
528,22
529,1
530,6
531,8
532,19
533,11
534,19
535,18
536,4
537,10
538,9
539,17
540,22
541,0
