obs_id,eqt_code_cat
0,12
1,3
2,19
3,19
4,18
5,13
6,3
7,0
8,19
9,6
10,22
11,20
12,7
13,16
14,6
15,9
16,12
17,7
18,15
19,15
20,1
21,1
22,1
23,0
24,22
25,0
26,17
27,22
28,4
29,20
30,1
31,18
32,15
33,6
34,16
35,1
36,12
37,7
38,20
39,7
40,19
41,16
42,17
43,9
44,0
45,4
46,17
47,14
48,6
49,4
50,9
51,1
52,9
53,19
54,14
55,18
56,15
57,22
58,4
59,1
60,20
61,4
62,7
63,5
64,6
65,9
66,22
67,20
68,7
69,14
70,4
71,11
72,9
73,20
74,22
75,8
76,17
77,13
78,2
79,17
80,9
81,1
82,22
83,19
84,16
85,22
86,22
87,12
88,4
89,6
90,15
91,1
92,6
93,12
94,19
95,22
96,16
97,12
98,17
99,13
100,5
101,23
102,13
103,0
104,3
105,7
106,9
107,21
108,12
109,9
110,4
111,8
112,18
113,1
114,0
115,1
116,12
117,0
118,19
119,4
120,7
121,0
122,7
123,23
124,13
125,11
126,13
127,19
128,12
129,12
130,0
131,19
132,19
133,8
134,9
135,7
136,5
137,1
138,6
139,12
140,19
141,19
142,1
143,3
144,13
145,17
146,15
147,18
148,4
149,19
150,18
151,17
152,22
153,3
154,6
155,1
156,1
157,13
158,9
159,10
160,6
161,18
162,0
163,7
164,22
165,20
166,9
167,3
168,10
169,4
170,1
171,10
172,16
173,0
174,7
175,4
176,13
177,7
178,7
179,19
180,22
181,10
182,13
183,3
184,4
185,0
186,12
187,1
188,4
189,12
190,0
191,21
192,7
193,23
194,12
195,15
196,2
197,8
198,5
199,8
200,17
201,0
202,12
203,1
204,6
205,7
206,0
207,7
208,5
209,6
210,9
211,8
212,20
213,13
214,22
215,3
216,7
217,1
218,7
219,12
220,7
221,3
222,18
223,19
224,19
225,13
226,18
227,7
228,12
229,5
230,7
231,2
232,22
233,8
234,7
235,17
236,4
237,19
238,23
239,22
240,4
241,6
242,9
243,4
244,3
245,11
246,1
247,7
248,9
249,14
250,22
251,19
252,18
253,14
254,6
255,13
256,16
257,7
258,22
259,9
260,0
261,18
262,13
263,19
264,8
265,10
266,12
267,12
268,4
269,16
270,1
271,9
272,11
273,19
274,1
275,4
276,8
277,4
278,19
279,8
280,20
281,9
282,4
283,13
284,7
285,20
286,6
287,17
288,13
289,7
290,1
291,1
292,13
293,11
294,21
295,7
296,8
297,7
298,3
299,21
300,17
301,7
302,7
303,1
304,4
305,4
306,1
307,3
308,7
309,4
310,13
311,16
312,11
313,7
314,7
315,17
316,14
317,21
318,12
319,6
320,20
321,9
322,12
323,7
324,7
325,7
326,3
327,23
328,23
329,12
330,3
331,2
332,14
333,6
334,19
335,18
336,11
337,4
338,7
339,9
340,16
341,16
342,4
343,7
344,22
345,16
346,12
347,3
348,1
349,9
350,7
351,18
352,4
353,13
354,11
355,7
356,13
357,11
358,7
359,8
360,2
361,16
362,0
363,15
364,7
365,12
366,14
367,4
368,9
369,18
370,7
371,18
372,12
373,6
374,15
375,2
376,14
377,6
378,1
379,7
380,16
381,8
382,12
383,10
384,13
385,13
386,18
387,5
388,18
389,10
390,20
391,6
392,9
393,12
394,7
395,3
396,22
397,4
398,9
399,18
400,20
401,7
402,12
403,1
404,15
405,22
406,9
407,16
408,18
409,4
410,10
411,6
412,0
413,13
414,16
415,18
416,9
417,23
418,12
419,13
420,8
421,19
422,1
423,0
424,4
425,18
426,19
427,5
428,7
429,8
430,22
431,7
432,13
433,19
434,3
435,19
436,12
437,1
438,16
439,4
440,17
441,0
442,13
443,13
444,8
445,8
446,22
447,3
448,13
449,22
450,12
451,9
452,19
453,19
454,13
455,3
456,21
457,17
458,9
459,12
460,19
461,10
462,22
463,10
464,12
465,8
466,9
467,13
468,6
469,17
470,4
471,8
472,4
473,8
474,16
475,13
476,10
477,8
478,1
479,19
480,17
481,19
482,10
483,21
484,18
485,17
486,19
487,19
488,19
489,14
490,1
491,4
492,22
493,13
494,19
495,6
496,23
497,6
498,12
499,14
500,7
501,13
502,1
503,14
504,11
505,16
506,16
507,23
508,4
509,7
510,4
511,3
512,23
513,0
514,4
515,2
516,14
517,0
518,16
519,0
520,22
521,12
522,2
523,18
524,5
525,2
526,0
527,8
528,17
529,14
530,14
531,8
532,19
533,11
534,19
535,12
536,4
537,8
538,0
539,9
540,16
541,9
542,8
543,7
544,22
545,7
546,10
547,4
548,23
549,13
550,10
551,21
552,13
553,19
554,22
555,12
556,6
557,13
558,6
559,7
560,2
561,1
562,6
563,18
564,6
565,7
566,10
567,19
568,23
569,22
570,7
571,13
572,1
573,12
574,15
575,12
576,0
577,11
578,12
579,12
580,13
581,13
582,7
583,0
584,14
585,6
586,19
587,16
588,11
589,20
590,2
591,1
592,13
593,10
594,7
595,13
596,18
597,22
598,0
599,4
600,7
601,20
602,18
603,19
604,19
605,22
606,22
607,21
608,17
609,19
610,16
611,20
612,3
613,14
614,1
615,10
616,16
617,3
618,7
619,7
620,22
621,13
622,18
623,20
624,7
625,4
626,11
627,2
628,6
629,6
630,21
631,9
632,13
633,6
634,11
635,7
636,22
637,1
638,7
639,18
640,0
641,6
642,0
643,0
644,19
645,4
646,16
647,12
648,13
649,6
650,21
651,23
652,11
653,13
654,12
655,12
656,9
657,17
658,15
659,9
660,21
661,22
662,15
663,13
664,14
665,13
666,6
667,12
668,11
669,5
670,4
671,7
672,4
673,20
674,3
675,12
676,1
677,7
678,15
679,21
680,15
681,4
682,8
683,12
684,12
685,9
686,19
687,7
688,16
689,7
690,7
691,15
692,7
693,19
694,16
695,19
696,12
697,11
698,13
699,5
700,7
701,13
702,18
703,21
704,15
705,5
706,15
707,22
708,19
709,6
710,8
711,7
712,9
713,15
714,16
715,3
716,15
717,0
718,12
719,15
720,0
721,1
722,6
723,12
724,14
725,18
726,9
727,13
728,13
729,7
730,11
731,7
732,19
733,2
734,6
735,11
736,22
737,7
738,4
739,23
740,21
741,4
742,7
743,19
744,0
745,16
746,12
747,4
748,20
749,1
750,9
751,7
752,23
753,1
754,13
755,16
756,4
757,2
758,13
759,4
760,15
761,14
762,2
763,8
764,11
765,19
766,18
767,12
768,5
769,17
770,23
771,10
772,19
773,7
774,22
775,3
776,19
777,18
778,19
779,9
780,18
781,22
782,10
783,22
784,15
785,13
786,12
787,4
788,4
789,8
790,19
791,20
792,14
793,13
794,4
795,7
796,23
797,18
798,16
799,21
800,13
801,7
802,9
803,12
804,14
805,4
806,12
807,0
808,19
809,13
810,7
811,18
812,7
813,4
814,0
815,19
816,6
817,13
818,0
819,1
820,13
821,15
822,8
823,7
824,4
825,22
826,1
827,7
828,7
829,3
830,11
831,19
832,1
833,22
834,17
835,23
836,11
837,7
838,0
839,15
840,23
841,7
842,16
843,12
844,4
845,7
846,7
847,22
848,4
849,17
850,13
851,19
852,1
853,8
854,11
855,6
856,21
857,13
858,1
859,5
860,12
861,7
862,5
863,2
864,7
865,19
866,17
867,14
868,22
869,5
870,11
871,14
872,1
873,10
874,0
875,4
876,6
877,9
878,7
879,7
880,15
881,1
882,23
883,5
884,6
885,4
886,18
887,13
888,6
889,7
890,11
891,13
892,11
893,6
894,16
895,12
896,2
897,10
898,3
899,9
900,4
901,14
902,12
903,19
904,19
905,22
906,20
907,4
908,23
909,7
910,14
911,9
912,7
913,22
914,17
915,19
916,22
917,19
918,13
919,11
920,8
921,4
922,7
923,23
924,7
925,12
926,7
927,19
928,12
929,12
930,23
931,2
932,6
933,2
934,19
935,22
936,6
937,4
938,0
939,23
940,5
941,6
942,13
943,17
944,7
945,12
946,22
947,0
948,9
949,7
950,0
951,13
952,21
953,21
954,19
955,19
956,17
957,2
958,20
959,12
960,7
961,17
962,14
963,19
964,15
965,16
966,18
967,7
968,9
969,11
970,9
971,6
972,1
973,19
974,22
975,7
976,12
977,12
978,19
979,22
980,5
981,4
982,7
983,22
984,15
985,21
986,11
987,6
988,6
989,19
990,1
991,19
992,22
993,11
994,19
995,14
996,7
997,11
998,13
999,5
1000,12
1001,11
1002,19
1003,4
1004,0
1005,13
1006,1
1007,18
1008,12
1009,0
1010,16
1011,1
1012,12
1013,6
1014,16
1015,10
1016,15
1017,13
1018,13
1019,1
1020,20
1021,17
1022,13
1023,3
1024,19
1025,3
1026,6
1027,5
1028,19
1029,5
1030,7
1031,22
1032,6
1033,15
1034,7
1035,7
1036,19
1037,9
1038,15
1039,0
1040,7
1041,6
1042,18
1043,13
1044,20
1045,7
1046,3
1047,6
1048,4
1049,7
1050,5
1051,5
1052,18
1053,18
1054,0
1055,1
1056,17
1057,1
1058,2
1059,19
1060,13
1061,18
1062,22
1063,7
1064,16
1065,14
1066,10
1067,19
1068,12
1069,22
1070,6
1071,7
1072,15
1073,13
1074,0
1075,6
1076,13
1077,19
1078,19
1079,0
1080,14
1081,20
1082,2
1083,9
1084,11
1085,9
1086,20
1087,21
1088,1
1089,21
1090,12
1091,7
1092,9
1093,13
1094,22
1095,4
1096,14
1097,14
1098,14
1099,1
1100,11
1101,1
1102,20
1103,14
1104,1
1105,12
1106,17
1107,1
1108,4
1109,7
1110,19
1111,22
1112,7
1113,19
1114,23
1115,16
1116,2
1117,5
1118,9
1119,3
1120,18
1121,7
1122,22
1123,4
1124,12
1125,8
1126,7
1127,7
1128,22
1129,12
1130,13
1131,4
1132,13
1133,7
1134,4
1135,0
1136,7
1137,3
1138,12
1139,1
1140,0
1141,5
1142,3
1143,18
1144,3
1145,1
1146,18
1147,22
1148,19
1149,13
1150,16
1151,8
1152,6
1153,0
1154,0
1155,10
1156,5
1157,7
1158,6
1159,20
1160,19
1161,12
1162,5
1163,12
1164,3
1165,19
1166,16
1167,4
1168,20
1169,10
1170,12
1171,0
1172,16
1173,11
1174,18
1175,23
1176,20
1177,7
1178,23
1179,7
1180,15
1181,9
1182,22
1183,9
1184,1
1185,19
1186,4
1187,13
1188,18
1189,7
1190,14
1191,15
1192,12
1193,9
1194,2
1195,7
1196,0
1197,10
1198,0
1199,12
1200,3
1201,7
1202,2
1203,16
1204,17
1205,9
1206,1
1207,0
1208,19
1209,7
1210,13
1211,6
1212,11
1213,12
1214,22
1215,22
1216,12
1217,18
1218,12
1219,12
1220,0
1221,10
1222,3
1223,20
1224,11
1225,12
1226,19
1227,7
1228,4
1229,10
1230,7
1231,14
1232,15
1233,9
1234,14
1235,20
1236,1
1237,7
1238,7
1239,6
1240,8
1241,0
1242,9
1243,6
1244,9
1245,4
1246,6
1247,6
1248,18
1249,22
1250,17
1251,1
1252,23
1253,1
1254,14
1255,17
1256,7
1257,3
1258,5
1259,17
1260,11
1261,0
1262,12
1263,7
1264,18
1265,13
1266,19
1267,5
1268,19
1269,16
1270,19
1271,23
1272,16
1273,16
1274,4
1275,1
1276,23
1277,7
1278,4
1279,14
1280,3
1281,3
1282,7
1283,7
1284,11
1285,1
1286,12
1287,21
1288,11
1289,4
1290,17
1291,7
1292,0
1293,15
1294,7
1295,1
1296,12
1297,17
1298,12
1299,16
1300,7
1301,6
1302,7
1303,12
1304,11
1305,1
1306,16
1307,4
1308,12
1309,22
1310,15
1311,20
1312,7
1313,21
1314,23
1315,6
1316,7
1317,7
1318,14
1319,7
1320,8
1321,16
1322,13
1323,18
1324,4
1325,12
1326,4
1327,4
1328,19
1329,9
1330,7
1331,11
1332,3
1333,0
1334,11
1335,12
1336,1
1337,0
1338,7
1339,5
1340,13
1341,18
1342,7
1343,4
1344,9
1345,2
1346,20
1347,12
1348,7
1349,4
1350,4
1351,15
1352,20
1353,19
1354,14
1355,17
1356,19
1357,13
1358,0
1359,21
1360,9
1361,12
1362,1
1363,4
1364,0
1365,4
1366,10
1367,9
1368,19
1369,13
1370,14
1371,13
1372,4
1373,15
1374,18
1375,19
1376,1
1377,19
1378,7
1379,18
1380,11
1381,15
1382,0
1383,4
1384,7
1385,17
1386,20
1387,19
1388,7
1389,18
1390,12
1391,21
1392,7
1393,14
1394,18
1395,6
1396,3
1397,21
1398,23
1399,12
1400,3
1401,12
1402,1
1403,2
1404,13
1405,1
1406,4
1407,4
1408,7
1409,9
1410,12
1411,15
1412,13
1413,12
1414,0
1415,4
1416,1
1417,3
1418,8
1419,18
1420,15
1421,0
1422,9
1423,0
1424,7
1425,19
1426,7
1427,4
1428,18
1429,12
1430,0
1431,22
1432,4
1433,22
1434,16
1435,10
1436,6
1437,22
1438,1
1439,13
1440,18
1441,9
1442,17
1443,12
1444,6
1445,1
1446,10
1447,9
1448,4
1449,13
1450,15
1451,9
1452,5
1453,8
1454,6
1455,19
1456,19
1457,0
1458,9
1459,7
1460,8
1461,9
1462,7
1463,7
1464,15
1465,12
1466,12
1467,7
1468,22
1469,12
1470,19
1471,19
1472,2
1473,6
1474,0
1475,13
1476,4
1477,12
1478,1
1479,13
1480,7
1481,11
1482,7
1483,7
1484,8
1485,22
1486,20
1487,12
1488,20
1489,12
1490,19
1491,9
1492,11
1493,9
1494,11
1495,19
1496,19
1497,4
1498,4
1499,4
1500,3
1501,6
1502,5
1503,11
1504,4
1505,6
1506,12
1507,13
1508,19
1509,7
1510,7
1511,22
1512,2
1513,6
1514,7
1515,13
1516,7
1517,22
1518,5
1519,0
1520,6
1521,7
1522,14
1523,7
1524,19
1525,3
1526,6
1527,4
1528,7
1529,12
1530,11
1531,7
1532,1
1533,12
1534,7
1535,4
1536,19
1537,12
1538,6
1539,3
1540,23
1541,20
1542,18
1543,2
1544,13
1545,0
1546,14
1547,16
1548,4
1549,1
1550,19
1551,8
1552,12
1553,2
1554,0
1555,18
1556,18
1557,7
1558,19
1559,3
1560,10
1561,4
1562,7
1563,18
1564,6
1565,9
1566,1
1567,23
1568,15
1569,0
1570,4
1571,6
1572,12
1573,3
1574,22
1575,5
1576,3
1577,23
1578,16
1579,12
1580,10
1581,1
1582,0
1583,12
1584,7
1585,19
1586,7
1587,13
1588,13
1589,17
1590,18
1591,6
1592,22
1593,1
1594,7
1595,16
1596,22
1597,15
1598,16
1599,12
1600,12
1601,19
1602,3
1603,19
1604,4
1605,3
1606,4
1607,3
1608,23
1609,0
1610,4
1611,8
1612,13
1613,16
1614,12
1615,12
1616,7
1617,0
1618,11
1619,23
1620,22
1621,18
1622,4
1623,23
1624,22
1625,0
1626,12
1627,21
1628,19
1629,4
1630,19
1631,19
1632,9
1633,12
1634,23
1635,11
1636,9
1637,4
1638,22
1639,12
1640,8
1641,1
1642,19
1643,23
1644,12
1645,6
1646,19
1647,15
1648,12
1649,12
1650,7
1651,22
1652,7
1653,4
1654,12
1655,4
1656,18
1657,4
1658,4
1659,1
1660,17
1661,4
1662,4
1663,12
1664,0
1665,20
1666,20
1667,3
1668,13
1669,4
1670,17
1671,12
1672,13
1673,11
1674,7
1675,7
1676,1
1677,22
1678,19
1679,12
1680,12
1681,19
1682,18
1683,0
1684,12
1685,4
1686,9
1687,6
1688,1
1689,13
1690,7
1691,0
1692,4
1693,10
1694,13
1695,18
1696,22
1697,14
1698,0
1699,1
1700,7
1701,19
1702,1
1703,6
1704,18
1705,19
1706,12
1707,7
1708,7
1709,18
1710,17
1711,19
1712,9
1713,6
1714,4
1715,21
1716,16
1717,3
1718,23
1719,23
1720,10
1721,19
1722,19
1723,11
1724,19
1725,16
1726,4
1727,6
1728,12
1729,6
1730,12
1731,0
1732,1
1733,6
1734,7
1735,7
1736,13
1737,19
1738,15
1739,8
1740,4
1741,14
1742,14
1743,6
1744,22
1745,18
